t (s),V (mV)
0,10.4425
0.964,10.3953
1.951,10.3373
2.952,10.2896
3.951,10.2412
4.952,10.1913
5.952,10.1399
6.951,10.0875
7.952,10.0357
8.952,9.988
9.953,9.9404
10.953,9.8935
11.952,9.8427
12.953,9.7973
13.952,9.7489
14.952,9.6983
15.953,9.6516
16.952,9.6053
17.953,9.5568
18.953,9.5105
19.953,9.4665
20.952,9.4154
21.952,9.3666
22.953,9.3213
23.953,9.2781
24.952,9.2335
25.953,9.1858
26.952,9.1395
27.952,9.0971
28.952,9.0516
29.953,9.0054
30.953,8.9622
31.953,8.9174
32.952,8.8722
33.953,8.8268
34.952,8.7812
35.953,8.7382
36.953,8.7002
37.953,8.6564
38.952,8.6176
39.952,8.5704
40.953,8.5211
41.952,8.4828
42.952,8.4432
43.953,8.4026
44.952,8.3594
45.953,8.3185
46.953,8.2732
47.952,8.2344
48.953,8.1965
49.952,8.1554
50.952,8.1119
51.952,8.0712
52.952,8.0275
53.953,7.9935
54.953,7.9519
55.953,7.9146
56.952,7.8742
57.953,7.8418
58.953,7.7986
59.952,7.7569
60.952,7.7218
61.952,7.6844
62.953,7.6449
63.952,7.6086
64.953,7.5682
65.953,7.5332
66.952,7.497
67.953,7.4565
68.952,7.4173
69.953,7.383
70.953,7.3444
71.952,7.3057
72.953,7.2704
73.952,7.2359
74.953,7.2008
75.952,7.162
76.952,7.1294
77.953,7.0932
78.953,7.0582
79.957,7.0273
80.953,6.9903
81.953,6.9543
82.953,6.923
83.952,6.8952
84.952,6.8604
85.953,6.8243
86.953,6.7926
87.952,6.7641
88.953,6.7339
89.952,6.7051
90.953,6.6711
91.958,6.6288
92.953,6.6044
93.952,6.5699
94.952,6.5426
95.952,6.5085
96.953,6.4684
97.953,6.4357
98.952,6.4068
99.952,6.3751
100.952,6.3411
101.952,6.3103
102.952,6.2797
103.953,6.2444
104.952,6.2141
105.952,6.1834
106.952,6.1547
107.953,6.1253
108.952,6.094
109.958,6.0548
110.952,6.0353
111.952,6.0023
112.953,5.9739
113.952,5.947
114.952,5.9175
115.957,5.8869
116.952,5.866
117.952,5.836
118.952,5.8099
119.953,5.7786
120.952,5.751
121.952,5.7172
122.952,5.6913
123.952,5.6593
124.952,5.6301
125.952,5.602
126.952,5.5738
127.957,5.5465
128.953,5.5173
129.952,5.4922
130.952,5.462
131.952,5.4331
132.952,5.4053
133.952,5.3787
134.952,5.3526
135.953,5.328
136.953,5.3053
137.953,5.2798
138.952,5.2548
139.953,5.227
140.953,5.2017
141.952,5.1693
142.952,5.1439
143.952,5.1197
144.953,5.0903
145.952,5.0646
146.952,5.0369
147.952,5.0153
148.953,4.9922
