t (s),V (mV)
0,20.065
1.049,20.0307
2.061,20.0048
3.062,19.9682
4.062,19.928
5.061,19.8896
6.061,19.8462
7.061,19.8053
8.062,19.7673
9.062,19.7266
10.062,19.6867
11.062,19.644
12.062,19.6006
13.061,19.5586
14.061,19.5141
15.062,19.4717
16.061,19.4297
17.062,19.3856
18.062,19.3438
19.061,19.2987
20.062,19.2593
21.062,19.217
22.061,19.1759
23.061,19.1311
24.062,19.0868
25.062,19.0406
26.061,19.0025
27.061,18.9595
28.062,18.917
29.062,18.8732
30.061,18.8319
31.062,18.7904
32.062,18.7495
33.062,18.7077
34.062,18.6671
35.062,18.6274
36.061,18.5868
37.062,18.5422
38.062,18.5033
39.061,18.4636
40.061,18.4179
41.062,18.3772
42.062,18.3383
43.061,18.2987
44.061,18.2584
45.061,18.2137
46.062,18.1774
47.062,18.1399
48.062,18.0983
49.061,18.0596
50.062,18.0223
51.062,17.9837
52.062,17.9461
53.062,17.9077
54.062,17.8687
55.062,17.831
56.062,17.7922
57.062,17.7544
58.062,17.7175
59.062,17.6794
60.061,17.6422
61.062,17.6054
62.062,17.5674
63.062,17.5296
64.061,17.4911
65.061,17.4565
66.061,17.4216
67.062,17.3838
68.062,17.3448
69.062,17.3094
70.061,17.2765
71.062,17.2295
72.062,17.1953
73.061,17.1645
74.062,17.1296
75.062,17.0949
76.061,17.0605
77.061,17.0252
78.062,16.9895
79.062,16.9534
80.061,16.9187
81.062,16.8839
82.062,16.849
83.061,16.801
84.062,16.7631
85.062,16.7311
86.062,16.6949
87.061,16.6524
88.061,16.6407
89.061,16.6087
90.062,16.5727
91.062,16.5387
92.061,16.5084
93.062,16.4719
94.062,16.4413
95.061,16.4112
96.062,16.375
97.061,16.3435
98.061,16.3097
99.061,16.2772
100.061,16.2398
101.061,16.2044
102.062,16.1682
103.062,16.1367
104.062,16.1046
105.062,16.0701
106.061,16.0342
107.061,16.0024
108.061,15.9722
109.061,15.9402
110.061,15.9013
111.062,15.873
112.062,15.8434
113.061,15.8137
114.061,15.7827
115.061,15.7435
116.061,15.7104
117.062,15.6852
118.062,15.6531
119.061,15.6248
120.062,15.5963
121.062,15.5663
122.061,15.5318
123.062,15.501
124.062,15.4721
125.062,15.4413
126.061,15.4113
127.062,15.3783
128.062,15.3482
129.061,15.3183
130.062,15.2887
131.062,15.2576
132.061,15.2271
133.062,15.1942
134.062,15.1623
135.062,15.134
136.061,15.1016
137.061,15.0711
138.062,15.0393
139.062,15.0665
140.062,15.0529
141.061,15.0264
142.062,14.994
143.062,14.948
144.061,14.9181
145.061,14.8881
146.061,14.8538
147.061,14.8253
148.061,14.7965
149.061,14.7642
150.062,14.7345
151.062,14.7074
152.062,14.6767
153.061,14.6487
154.062,14.6212
155.062,14.592
156.062,14.5596
157.062,14.5353
158.062,14.5075
159.061,14.4806
160.061,14.4528
161.061,14.4261
162.062,14.3979
163.061,14.3689
164.061,14.3401
165.061,14.3135
166.062,14.2864
167.061,14.2589
168.062,14.23
169.062,14.2037
170.061,14.1774
171.062,14.1514
172.061,14.1199
173.061,14.095
174.062,14.0674
175.061,14.041
176.062,14.0127
177.061,13.9831
178.062,13.9572
179.061,13.9297
180.062,13.9031
181.062,13.8749
182.061,13.8483
183.062,13.8189
184.061,13.7943
185.061,13.7639
186.062,13.7312
187.061,13.7087
188.061,13.6814
189.061,13.6507
190.062,13.6253
191.062,13.595
192.062,13.5636
193.061,13.5366
194.061,13.4976
195.062,13.4864
196.062,13.4593
197.061,13.4353
198.061,13.4088
199.062,13.3827
200.062,13.3568
201.062,13.3316
202.062,13.3062
203.061,13.2809
204.061,13.2543
205.062,13.2298
206.061,13.2048
207.061,13.1788
208.061,13.1544
209.061,13.1279
210.062,13.0997
211.062,13.0756
212.062,13.053
213.061,13.0273
214.062,13.001
215.062,12.9744
216.062,12.9479
217.061,12.9224
218.062,12.8958
219.062,12.8712
220.061,12.8468
221.062,12.8231
222.062,12.7995
223.061,12.7715
224.061,12.7472
225.062,12.7167
226.061,12.6902
227.061,12.6664
228.062,12.6443
229.061,12.6174
230.062,12.5955
231.062,12.5709
232.061,12.5446
233.062,12.5212
234.062,12.4976
235.062,12.4728
236.062,12.4481
237.062,12.4267
238.062,12.4026
239.062,12.3772
240.062,12.3516
241.062,12.3257
242.062,12.2921
243.062,12.2692
244.061,12.2489
245.062,12.2369
246.062,12.2145
247.061,12.1893
248.061,12.1658
249.061,12.135
250.062,12.1125
251.062,12.0915
252.061,12.0688
253.061,12.0437
254.061,12.0223
255.062,11.9977
256.062,11.974
257.061,11.9496
258.061,11.9291
259.062,11.9042
260.062,11.8797
261.061,11.8574
262.062,11.8342
263.061,11.8136
264.061,11.7918
265.062,11.7702
266.061,11.7508
267.061,11.7258
268.061,11.7026
269.061,11.6806
270.062,11.6561
271.062,11.6356
272.061,11.6119
273.062,11.5899
274.062,11.5701
275.061,11.5455
276.062,11.5226
277.061,11.498
278.062,11.4764
279.062,11.4542
280.061,11.4306
281.062,11.4102
282.062,11.3876
283.061,11.3653
284.062,11.3446
285.061,11.322
286.062,11.2995
287.062,11.272
288.062,11.248
289.062,11.3013
290.062,11.2781
291.061,11.2555
292.061,11.2336
293.062,11.2141
294.061,11.1908
295.062,11.1701
296.062,11.15
297.061,11.1282
298.061,11.1059
299.062,11.0851
300.062,11.0639
301.061,11.0439
302.061,11.0207
303.062,10.9917
304.062,10.9725
305.061,10.9542
306.061,10.9298
307.062,10.9153
308.061,10.8943
309.062,10.8734
310.061,10.8525
