t (s),V (mV)
0,19.1256
1.05,19.0929
2.1,19.0398
3.113,19.0031
4.113,18.9608
5.113,18.9159
6.114,18.8683
7.114,18.8194
8.113,18.7756
9.114,18.7274
10.114,18.6754
11.113,18.6333
12.114,18.5887
13.114,18.5371
14.114,18.4917
15.113,18.4433
16.114,18.3952
17.114,18.35
18.113,18.3009
19.113,18.254
20.113,18.2052
21.114,18.1619
22.114,18.1148
23.114,18.0608
24.113,18.0202
25.114,17.9737
26.114,17.9306
27.114,17.886
28.113,17.836
29.113,17.7916
30.119,17.7541
31.114,17.7042
32.114,17.6555
33.113,17.6132
34.114,17.5723
35.113,17.5279
36.119,17.4863
37.114,17.4356
38.114,17.3903
39.113,17.3445
40.114,17.2993
41.114,17.2554
42.114,17.2138
43.114,17.1706
44.113,17.1257
45.114,17.0839
46.114,17.0394
47.113,16.9977
48.113,16.9557
49.114,16.9133
50.113,16.873
51.113,16.8281
52.113,16.7864
53.114,16.7429
54.113,16.6993
55.114,16.6593
56.114,16.6141
57.114,16.5709
58.113,16.5318
59.113,16.4909
60.119,16.4498
61.113,16.4033
62.114,16.3645
63.115,16.3261
64.114,16.2802
65.114,16.2402
66.119,16.206
67.113,16.1592
68.114,16.1204
69.114,16.0811
70.114,16.04
71.114,15.998
72.113,15.9638
73.113,15.9228
74.113,15.8808
75.114,15.8418
76.114,15.7934
77.114,15.7602
78.114,15.7312
79.113,15.6938
80.113,15.6524
81.113,15.6105
82.113,15.5741
83.113,15.5328
84.114,15.4943
85.113,15.4567
86.113,15.4174
87.113,15.3787
88.113,15.3466
89.113,15.3036
90.114,15.2671
91.114,15.2323
92.113,15.1948
93.114,15.1605
94.113,15.1161
95.114,15.0768
96.114,15.0455
97.114,15.0112
98.113,14.9746
99.114,14.9387
100.114,14.9098
101.113,14.8695
102.114,14.8338
103.114,14.7982
104.113,14.758
105.114,14.7168
106.113,14.6889
107.114,14.6511
108.114,14.6204
109.113,14.5844
110.113,14.5503
111.114,14.515
112.114,14.4781
113.113,14.4455
114.114,14.4046
115.114,14.3694
116.114,14.3338
117.113,14.3008
118.113,14.2685
119.113,14.2336
120.114,14.2005
121.114,14.1664
122.114,14.1294
123.114,14.0952
124.114,14.0685
125.114,14.0335
126.119,14.0032
127.113,13.9628
128.113,13.9273
129.114,13.896
130.114,13.8618
131.114,13.8266
132.118,13.7998
133.114,13.7595
134.114,13.7271
135.114,13.693
136.113,13.6621
137.113,13.624
138.114,13.5948
139.114,13.5559
140.114,13.5229
141.114,13.4882
142.114,13.4612
143.113,13.4272
144.114,13.3954
145.114,13.3533
146.113,13.3358
147.113,13.3017
148.114,13.2686
149.114,13.2382
150.113,13.2067
151.113,13.1777
152.113,13.1468
153.113,13.1156
154.113,13.0852
155.113,13.0538
156.114,13.0198
157.114,12.9909
158.114,12.9576
159.114,12.9244
160.113,12.8911
161.114,12.862
162.119,12.8325
163.114,12.8012
164.114,12.7732
165.114,12.7418
166.114,12.7104
167.114,12.6757
168.119,12.652
169.114,12.617
170.114,12.5878
171.114,12.5522
172.114,12.5224
173.113,12.496
174.118,12.4669
175.114,12.4383
176.113,12.4092
177.113,12.3805
178.113,12.3489
179.114,12.3203
180.114,12.2901
181.114,12.2534
182.114,12.231
183.115,12.2066
184.113,12.1732
185.114,12.1428
186.119,12.1201
187.113,12.0849
188.114,12.0585
189.113,12.0273
190.113,12.0025
191.114,11.974
192.113,11.9388
193.114,11.9132
194.113,11.8856
195.114,11.8584
196.114,11.829
197.114,11.7948
198.114,11.7396
199.114,11.7422
200.113,11.7177
201.113,11.6861
202.114,11.6598
203.113,11.6316
204.114,11.6069
205.114,11.5805
206.114,11.5523
207.113,11.5239
208.114,11.4987
209.114,11.4711
210.118,11.4466
211.113,11.4183
212.113,11.3881
213.114,11.3598
214.113,11.3255
215.114,11.29
216.114,11.2705
217.113,11.2454
218.114,11.22
219.114,11.1985
220.114,11.1765
221.114,11.1285
222.113,11.1041
223.113,11.0934
224.113,11.0687
225.114,11.0436
226.114,11.0193
227.114,10.9884
228.119,10.9712
229.113,10.9374
230.113,10.9134
231.114,10.8892
232.114,10.8603
233.114,10.8357
234.119,10.8193
235.113,10.7565
236.114,10.6945
237.114,10.6828
238.113,10.672
239.114,10.6726
240.113,10.6416
241.113,10.6096
242.114,10.6051
243.113,10.521
244.112,10.515
245.113,10.4573
246.112,10.4588
247.112,10.4337
248.113,10.4319
249.112,10.3912
250.112,10.345
